Corrente (A),Tensao Resistor (V),Tensao Carga (V)
0.12,-0.70,-9.41
0.14,-0.57,10.07
0.15,0.76,3.36
0.13,0.10,-13.93
0.11,-0.90,-1.16
0.12,0.03,12.06
0.12,0.63,-5.35
0.09,-0.30,-12.66
0.13,-0.70,7.08
0.14,0.57,7.88
0.13,0.43,-11.67
0.09,-0.76,-6.28
0.15,-0.30,11.67
0.15,0.76,-0.30
0.12,0.10,-14.26
0.10,-0.83,2.63
0.10,0.50,10.80
0.12,0.63,-8.41
0.12,-0.57,-10.67
0.15,-0.63,9.27
0.12,0.63,4.75
0.13,0.37,-13.53
0.14,-0.70,-2.89
0.11,-0.10,12.13
0.12,0.90,-4.09
0.10,-0.50,-13.26
0.11,-0.76,5.95
0.13,0.23,8.87
0.14,0.50,-10.87
0.11,-0.83,-7.48
0.12,-0.30,11.20
0.14,0.90,1.30
0.13,0.10,-14.13
0.11,-0.96,1.10
0.10,0.23,11.53
0.11,0.63,-7.28
0.10,-0.37,-11.53
0.09,-0.57,8.48
0.11,0.70,6.02
0.12,0.37,-13.00
0.13,-0.70,-4.29
0.14,0.10,12.00
0.12,0.83,-2.36
0.12,-0.03,-13.93
0.11,-0.57,4.49
0.13,0.43,9.67
0.12,0.50,-9.94
0.13,-0.70,-9.07
0.14,-0.63,10.40
0.14,0.63,2.96
0.13,0.03,-14.06
0.10,-0.96,-0.70
0.11,0.10,12.00
0.12,0.76,-5.62
0.13,-0.50,-12.46
0.10,-0.63,7.28
0.14,0.70,7.54
0.12,0.43,-11.93
0.12,-0.90,-5.88
0.11,-0.43,11.73
0.14,0.90,-0.76
0.10,-0.10,-14.19
0.11,-0.96,3.16
0.12,0.30,10.60
0.12,0.70,-8.94
0.11,-0.63,-10.27
0.10,-0.43,9.74
0.13,0.83,4.22
0.12,0.30,-13.66
0.13,-1.10,-2.29
0.12,0.03,12.13
0.12,0.90,-4.35
0.13,-0.43,-13.19
0.12,-0.70,6.28
0.14,0.43,8.54
0.14,0.57,-11.13
0.09,-0.76,-7.08
0.12,-0.30,11.27
0.14,0.76,0.76
0.16,0.10,-14.19
0.09,-0.90,1.63
0.14,0.17,11.27
0.11,0.83,-7.74
0.09,-0.63,-11.20
0.13,-0.50,8.81
0.13,0.57,5.35
0.11,0.43,-13.26
0.09,-0.83,-3.62
0.14,-0.17,12.06
0.13,0.90,-3.42
0.11,-0.43,-13.59
0.11,-0.76,5.48
0.11,0.17,9.21
0.12,0.63,-10.54
0.15,-0.76,-7.94
0.15,-0.23,11.00
0.11,0.83,1.83
0.15,0.17,-14.19
0.11,-0.63,0.83
0.15,0.50,11.67
0.14,0.70,-6.95
0.10,-0.30,-11.73
0.12,-0.70,8.28
0.15,0.63,6.35
0.12,0.57,-12.86
0.13,-0.76,-4.42
0.12,-0.23,12.00
0.14,0.96,-2.43
0.11,-0.23,-13.93
0.13,-0.76,4.62
0.13,0.43,9.74
0.09,0.43,-9.94
0.10,-0.70,-8.94
0.12,-0.57,10.47
0.14,0.83,2.89
0.13,0.30,-14.06
0.12,-1.03,-0.50
0.13,0.10,12.00
0.11,0.57,-5.75
0.09,-0.37,-12.40
0.11,-0.70,7.35
0.15,0.50,7.41
0.14,0.57,-12.13
0.12,-0.57,-5.68
0.12,-0.17,11.80
0.14,0.90,-1.03
0.12,-0.10,-14.26
0.12,-1.03,3.36
0.14,0.63,10.40
0.10,0.50,-9.07
0.12,-0.63,-10.07
0.14,-0.63,9.80
0.11,0.63,4.15
0.13,0.23,-13.73
0.10,-0.90,-1.96
0.09,-0.23,12.06
0.13,0.96,-4.82
0.15,-0.63,-12.93
0.11,-0.76,6.61
0.13,0.63,8.28
0.14,0.76,-11.53
0.13,-0.83,-6.68
0.13,-0.37,11.60
0.13,0.70,0.23
0.10,0.10,-14.19
0.13,-0.83,2.09
0.15,0.37,11.07
0.14,0.70,-7.94
0.14,-0.50,-11.00
0.13,-0.83,8.87
0.18,0.90,5.35
0.12,0.23,-13.26
0.13,-0.63,-3.56
0.12,0.10,12.06
0.11,0.76,-3.29
0.13,-0.37,-13.59
0.11,-0.70,5.28
0.14,0.50,9.27
0.11,0.57,-10.40
0.10,-0.96,-8.08
0.11,-0.30,10.87
0.11,0.83,2.03
0.12,0.17,-14.13
0.11,-0.83,0.50
0.13,0.10,11.80
0.14,0.76,-6.55
0.13,-0.57,-11.93
0.09,-0.50,7.94
0.15,0.50,6.68
0.12,0.50,-12.66
0.14,-0.76,-5.02
0.13,-0.17,11.93
0.09,0.90,-1.76
0.12,-0.10,-14.06
0.12,-0.90,4.02
0.11,0.30,10.07
0.14,0.63,-9.54
0.12,-0.63,-9.41
0.13,-0.50,10.20
0.15,0.76,3.42
0.13,0.17,-13.99
0.12,-0.96,-1.16
0.12,0.10,12.06
0.13,0.83,-5.28
0.15,-0.37,-12.66
0.12,-0.70,7.08
0.13,0.63,7.88
0.13,0.63,-11.80
0.11,-0.76,-6.28
0.14,-0.37,11.67
0.12,0.96,-0.30
0.13,-0.10,-14.26
0.14,-0.90,2.83
0.15,0.30,10.74
0.13,0.63,-8.67
0.12,-0.57,-10.40
0.11,-0.57,9.54
0.17,0.70,4.35
0.10,0.30,-13.66
0.13,-0.76,-2.36
0.14,0.03,12.13
0.15,0.76,-4.42
0.11,-0.43,-13.13
0.11,-0.76,6.35
0.14,0.50,8.48
0.10,0.50,-11.27
0.09,-0.76,-6.95
0.12,-0.43,11.47
0.13,0.83,0.57
0.14,-0.03,-14.19
0.10,-0.96,2.09
0.14,0.37,11.20
0.13,0.76,-8.01
0.10,-0.50,-11.00
0.10,-0.63,9.01
0.16,0.76,5.22
0.14,0.37,-13.26
0.09,-0.96,-3.36
0.11,-0.03,12.06
0.11,0.90,-3.56
0.10,-0.30,-13.53
0.13,-0.76,5.48
0.11,0.57,9.21
0.11,0.43,-10.54
0.11,-0.83,-7.88
0.16,-0.43,11.00
0.15,0.96,1.76
0.10,0.10,-14.13
0.11,-0.83,0.76
0.13,0.10,11.60
0.14,0.70,-6.75
0.10,-0.50,-11.80
0.15,-0.50,8.14
0.16,0.76,6.48
0.14,0.57,-12.73
0.14,-0.76,-4.75
0.14,-0.17,11.93
0.16,1.03,-2.16
0.10,-0.17,-14.06
0.13,-0.57,4.35
0.12,0.30,9.80
0.11,0.70,-9.67
0.11,-0.50,-9.34
0.12,-0.57,10.34
0.12,0.83,3.09
0.13,-0.10,-13.93
0.10,-0.96,-0.70
0.10,-0.10,12.06
0.09,0.63,-5.82
0.10,-0.57,-12.33
0.13,-0.70,7.48
0.15,0.63,7.35
0.13,0.43,-12.20
0.13,-0.83,-5.68
0.10,-0.43,11.73
0.14,1.10,-0.90
0.14,-0.10,-14.19
0.12,-0.83,3.29
0.14,0.43,10.40
0.12,0.57,-9.07
0.14,-0.70,-10.07
0.12,-0.70,9.80
0.11,0.63,4.02
0.13,0.23,-13.73
0.12,-0.90,-2.03
0.14,-0.03,12.13
0.13,0.90,-4.75
0.12,-0.43,-12.93
0.13,-0.70,6.55
0.16,0.50,8.34
0.15,0.57,-11.33
0.14,-0.70,-6.75
0.11,-0.43,11.47
0.11,0.70,0.43
0.12,-0.03,-14.19
0.13,-0.70,2.16
0.12,0.10,11.00
0.13,0.83,-8.08
0.11,-0.37,-10.93
0.13,-0.50,9.07
0.13,0.63,5.15
0.12,0.50,-13.33
0.13,-0.76,-3.29
0.15,-0.10,12.06
0.13,0.90,-3.69
0.11,-0.37,-13.53
0.14,-0.76,5.62
0.14,0.63,9.14
0.13,0.37,-10.80
0.10,-0.76,-7.61
0.13,-0.57,11.07
0.12,0.76,1.50
0.13,0.10,-14.13
0.10,-0.83,1.16
0.12,0.17,11.53
0.12,0.63,-7.28
0.09,-0.76,-11.47
0.12,-0.57,8.54
0.16,0.90,5.95
0.13,0.43,-13.00
0.11,-0.70,-4.22
0.12,-0.17,12.06
0.13,1.03,-2.69
0.12,-0.37,-13.86
0.10,-0.57,4.82
0.14,0.50,9.54
0.15,0.43,-10.14
0.12,-0.70,-8.54
0.12,-0.57,10.67
0.14,0.76,2.43
0.11,-0.03,-13.99
0.11,-1.03,0.10
0.15,0.17,11.87
0.16,0.70,-6.35
0.12,-0.30,-12.06
0.10,-0.50,7.74
0.16,0.83,7.01
0.14,0.50,-12.40
0.09,-0.50,-5.35
0.11,-0.10,11.87
0.15,0.83,-1.36
0.13,0.10,-14.19
0.12,-0.76,3.56
0.12,0.43,10.27
0.14,0.63,-9.27
0.12,-0.70,-9.80
0.10,-0.50,9.94
0.12,0.50,3.96
0.10,0.43,-13.79
0.11,-0.96,-1.89
0.11,-0.10,12.06
0.12,0.90,-4.82
0.13,-0.17,-13.00
0.13,-0.50,6.75
0.14,0.70,8.28
0.11,0.57,-11.53
0.10,-0.70,-6.68
0.13,-0.43,11.60
0.13,0.70,0.23
0.12,0.17,-14.26
0.10,-0.90,2.23
0.10,0.30,11.07
0.14,0.63,-8.01
0.11,-0.43,-10.93
0.13,-0.70,9.07
0.14,0.70,5.15
0.13,0.43,-13.33
0.09,-0.83,-3.42
0.14,0.03,12.06
0.14,0.90,-3.36
0.11,-0.57,-13.59
0.15,-0.76,5.48
0.11,0.43,9.27
0.14,0.37,-10.47
0.14,-0.76,-8.01
0.14,-0.30,11.00
0.15,0.57,1.96
0.14,0.03,-14.13
0.15,-0.90,0.43
0.11,0.23,11.73
0.13,0.63,-6.68
0.13,-0.37,-11.93
0.15,-0.76,8.08
0.16,0.76,6.55
0.09,0.57,-12.66
0.13,-0.76,-4.89
0.13,-0.17,11.93
0.14,0.90,-1.96
0.09,-0.10,-14.06
0.12,-0.63,4.15
0.12,0.50,9.94
0.11,0.43,-9.54
0.11,-0.90,-9.41
0.13,-0.50,10.20
0.16,0.70,3.36
0.14,0.23,-13.86
0.07,-1.16,-1.16
0.13,-0.10,12.06
0.15,0.76,-5.55
0.09,-0.50,-12.53
0.11,-0.63,7.21
0.11,0.76,7.68
0.15,0.63,-12.00
0.09,-0.76,-6.02
0.11,-0.10,11.73
0.10,0.96,-0.57
0.12,0.10,-14.19
0.14,-0.83,2.83
0.12,0.37,10.67
0.11,0.63,-8.74
0.13,-0.57,-10.40
0.10,-0.43,9.61
0.12,0.70,4.35
0.11,0.17,-13.66
0.10,-0.76,-2.29
0.12,-0.10,12.13
0.15,0.83,-4.55
0.13,-0.43,-13.13
0.11,-0.76,6.48
0.12,0.57,8.41
0.11,0.63,-11.33
0.10,-0.90,-6.75
0.13,-0.37,11.47
0.11,0.83,0.43
0.12,0.17,-14.26
0.10,-0.90,2.23
0.13,0.23,11.00
0.10,0.63,-8.08
0.12,-0.43,-11.00
0.12,-0.43,9.01
0.12,0.76,5.15
0.14,0.37,-13.33
0.11,-0.76,-3.22
0.16,-0.10,12.06
0.15,0.96,-3.69
0.13,-0.30,-13.46
0.13,-0.83,5.75
0.12,0.57,9.07
0.15,0.37,-10.74
0.11,-0.83,-7.68
0.10,-0.43,11.13
0.16,0.90,1.50
0.14,0.10,-14.19
0.13,-0.63,0.90
0.14,0.17,11.60
0.12,0.76,-7.01
0.10,-0.50,-11.73
0.13,-0.63,8.28
0.11,0.63,6.35
0.13,0.43,-12.80
0.11,-0.76,-4.55
0.10,-0.10,12.06
0.11,0.83,-2.43
0.15,-0.23,-13.93
0.11,-0.76,4.49
0.12,0.17,9.74
0.15,0.63,-9.87
0.11,-0.50,-9.01
0.14,-0.30,10.47
0.12,0.63,2.96
0.11,0.17,-14.06
0.14,-0.96,-0.63
0.14,-0.17,12.00
0.14,0.70,-5.82
0.11,-0.43,-12.33
0.14,-0.50,7.35
0.10,0.63,7.35
0.16,0.50,-12.20
0.09,-0.70,-5.75
0.13,-0.23,11.73
0.14,0.83,-0.90
0.14,-0.03,-14.19
0.11,-0.83,3.22
0.12,0.23,10.47
0.11,0.76,-9.01
0.11,-0.57,-10.14
0.10,-0.50,9.80
0.13,0.63,4.09
0.10,0.23,-13.66
0.12,-1.03,-2.16
0.11,0.10,12.06
0.14,0.83,-4.55
0.09,-0.43,-13.06
0.14,-0.83,6.41
0.14,0.63,8.54
0.11,0.43,-11.20
0.10,-0.83,-7.08
0.11,-0.30,11.47
0.15,0.96,0.76
0.11,0.03,-14.19
0.15,-0.83,1.56
0.13,0.37,11.27
0.13,0.70,-7.61
0.10,-0.50,-11.27
0.13,-0.70,8.67
0.13,0.70,5.62
0.12,0.30,-13.19
0.11,-0.70,-3.89
0.09,-0.10,12.06
0.15,0.96,-2.96
0.12,-0.30,-13.73
0.11,-0.63,5.02
0.11,0.37,9.47
0.12,0.50,-10.27
0.11,-0.63,-8.41
0.14,-0.43,10.74
0.10,0.63,2.29
0.13,-0.03,-14.13
0.10,-0.70,0.37
0.12,0.03,11.80
0.10,0.70,-6.55
0.12,-0.43,-11.93
0.10,-0.50,7.94
0.16,0.76,6.81
0.12,0.43,-12.60
0.10,-0.76,-5.09
0.12,-0.10,11.80
0.11,0.83,-1.63
0.14,-0.17,-14.19
0.14,-0.90,3.96
0.13,0.43,10.00
0.13,0.63,-9.54
0.09,-0.76,-9.47
0.14,-0.76,10.14
0.10,0.70,3.42
0.10,0.37,-13.93
0.10,-0.90,-1.03
0.14,0.03,12.00
0.11,0.83,-5.35
0.13,-0.30,-12.66
0.11,-0.57,7.01
0.14,0.63,7.94
0.14,0.57,-11.80
0.10,-0.76,-6.22
0.17,-0.23,11.67
0.10,1.10,-0.50
0.13,-0.10,-14.26
0.11,-0.96,3.02
0.12,0.37,10.67
0.10,0.63,-8.74
0.12,-0.43,-10.27
0.13,-0.43,9.67
0.12,0.43,4.29
0.12,0.23,-13.73
0.14,-0.83,-2.16
0.12,-0.10,12.13
0.14,0.76,-4.75
0.14,-0.43,-13.00
0.11,-0.63,6.55
0.11,0.57,8.34
0.15,0.57,-11.33
0.12,-0.76,-6.75
0.14,-0.43,11.47
0.15,0.90,0.37
0.11,0.10,-14.26
0.14,-0.83,2.03
0.11,0.37,11.13
0.14,0.57,-8.01
0.10,-0.37,-11.07
0.13,-0.70,9.01
0.16,0.83,5.22
0.14,0.23,-13.33
0.13,-0.70,-3.36
0.14,-0.23,12.13
0.09,0.70,-3.62
0.08,-0.37,-13.53
0.14,-0.70,5.55
0.16,0.37,9.07
0.13,0.63,-10.67
0.11,-0.63,-7.81
0.13,-0.10,11.13
0.12,0.90,1.43
0.11,0.03,-14.19
0.11,-0.70,0.96
0.14,0.30,11.60
0.15,0.70,-7.01
0.11,-0.43,-11.73
0.11,-0.70,8.21
0.13,0.76,6.41
0.11,0.50,-12.86
0.11,-0.63,-4.69
0.12,-0.10,12.00
0.11,0.90,-2.23
0.10,-0.10,-13.93
0.09,-0.50,4.29
0.10,0.37,9.80
0.16,0.37,-9.67
0.13,-0.57,-9.27
0.10,-0.37,10.27
0.13,0.76,3.16
0.13,0.17,-13.93
0.11,-0.96,-0.76
0.16,-0.10,12.00
0.11,0.57,-5.75
0.11,-0.63,-12.46
0.10,-0.76,7.41
0.10,0.70,7.54
0.12,0.63,-12.06
0.09,-0.76,-5.88
0.11,-0.37,11.73
0.13,1.10,-0.76
0.12,0.03,-14.19
0.11,-0.83,2.96
0.16,0.30,10.67
0.13,0.50,-8.74
0.11,-0.57,-10.34
0.11,-0.70,9.61
0.14,0.63,4.35
0.11,0.23,-13.66
0.13,-0.96,-2.29
0.14,-0.03,12.13
0.12,0.90,-4.55
0.10,-0.43,-13.06
0.14,-0.57,6.41
0.12,0.63,8.41
0.13,0.57,-11.33
0.14,-0.76,-6.75
0.15,-0.30,11.47
0.16,0.83,0.37
0.13,0.10,-14.19
0.09,-0.90,2.03
0.14,0.63,11.13
0.14,0.83,-8.08
0.13,-0.50,-11.00
0.12,-0.43,9.07
0.12,0.70,5.28
0.12,0.17,-13.33
0.11,-0.96,-3.36
0.12,-0.10,12.13
0.15,0.90,-3.56
0.12,-0.37,-13.53
0.14,-0.83,5.68
0.17,0.43,9.01
0.14,0.63,-10.67
0.09,-0.76,-7.74
0.11,-0.43,11.13
0.12,0.90,1.50
0.11,0.17,-14.19
0.12,-0.90,1.03
0.17,0.30,11.47
0.13,0.63,-7.15
0.13,-0.57,-11.53
0.13,-0.50,8.41
0.13,0.57,6.02
0.12,0.43,-13.06
0.13,-0.76,-4.35
0.14,-0.03,12.06
0.12,0.83,-2.49
0.11,-0.23,-13.93
0.13,-0.63,4.69
0.15,0.30,9.67
0.11,0.70,-10.00
0.14,-0.70,-8.94
0.12,-0.43,10.54
0.11,0.90,2.83
0.10,0.23,-14.06
0.12,-0.96,-0.43
0.10,0.03,12.00
0.13,0.50,-5.95
0.13,-0.37,-12.33
0.14,-0.63,7.54
0.18,0.70,7.35
0.14,0.50,-12.20
0.14,-0.76,-5.68
0.14,-0.17,11.73
0.15,1.03,-1.03
0.09,-0.10,-14.26
0.12,-0.76,3.36
0.13,0.43,10.40
0.13,0.63,-9.01
0.12,-0.57,-10.00
0.14,-0.63,9.87
0.14,0.70,4.09
0.12,0.10,-13.73
0.09,-1.03,-2.09
0.17,0.10,12.13
0.14,0.90,-4.62
0.12,-0.43,-13.06
0.12,-0.83,6.35
0.13,0.63,8.54
0.12,0.43,-11.20
0.12,-0.83,-7.01
0.15,-0.30,11.33
0.12,0.76,0.76
0.09,-0.03,-14.26
0.13,-0.90,1.89
0.14,0.37,11.20
0.10,0.83,-7.68
0.12,-0.50,-11.20
0.14,-0.50,8.81
0.13,0.63,5.48
0.12,0.57,-13.26
0.13,-0.90,-3.62
0.12,-0.10,12.13
0.13,0.83,-3.22
0.13,-0.30,-13.59
0.10,-0.63,5.35
0.13,0.37,9.27
0.13,0.50,-10.54
0.11,-0.83,-8.08
0.12,-0.43,10.87
0.13,0.76,2.03
0.10,0.23,-14.19
0.13,-0.90,0.43
0.12,0.23,11.73
0.13,0.57,-6.55
0.11,-0.43,-11.93
0.12,-0.57,7.94
0.10,0.90,6.75
0.13,0.37,-12.60
0.11,-0.63,-5.09
0.13,-0.17,11.93
0.11,1.03,-1.83
0.12,-0.17,-14.13
0.11,-0.63,4.09
0.13,0.43,10.07
0.10,0.37,-9.67
0.11,-0.76,-9.34
0.14,-0.43,10.27
0.12,0.63,3.29
0.10,0.30,-13.99
0.11,-0.96,-1.10
0.12,0.10,12.06
0.11,0.76,-5.35
0.10,-0.50,-12.66
0.13,-0.83,7.08
0.13,0.57,7.94
0.14,0.63,-11.80
0.12,-0.76,-6.28
0.11,-0.30,11.67
0.12,0.96,-0.37
0.14,0.03,-14.26
0.12,-0.83,2.83
0.15,0.43,10.74
0.14,0.70,-8.67
0.13,-0.63,-10.40
0.11,-0.30,9.61
0.12,0.63,4.35
0.12,0.23,-13.59
0.10,-0.83,-2.43
0.12,-0.03,12.13
0.10,0.70,-4.55
0.13,-0.37,-13.13
0.09,-0.83,6.48
0.13,0.43,8.48
0.13,0.63,-11.33
0.13,-0.83,-6.88
0.13,-0.17,11.47
0.18,0.83,0.43
0.10,0.10,-14.19
0.13,-0.83,1.96
0.14,0.23,11.20
0.09,0.76,-7.88
0.13,-0.50,-11.20
0.11,-0.57,8.94
0.12,0.63,5.42
0.12,0.30,-13.33
0.12,-0.96,-3.62
0.14,-0.10,12.06
0.15,0.70,-3.29
0.14,-0.23,-13.59
0.13,-0.76,5.35
0.12,0.43,9.27
0.12,0.50,-10.40
0.13,-0.83,-8.14
0.12,-0.57,11.00
0.15,0.70,1.96
0.13,0.17,-14.13
0.12,-0.83,0.57
0.14,0.17,11.80
0.14,0.63,-6.68
0.15,-0.37,-11.80
0.09,-0.50,8.08
0.14,0.70,6.55
0.12,0.43,-12.73
0.13,-0.90,-4.89
0.14,-0.10,11.87
0.14,1.10,-1.96
0.14,-0.03,-14.06
0.11,-0.70,4.09
0.13,0.50,10.00
0.13,0.43,-9.67
0.11,-0.76,-9.47
0.12,-0.37,10.20
0.11,0.76,3.36
0.14,0.03,-13.93
0.12,-1.03,-1.16
0.11,-0.03,12.06
0.15,0.83,-5.48
0.13,-0.50,-12.53
0.15,-0.63,7.21
0.15,0.63,7.81
0.11,0.50,-11.87
0.12,-0.90,-6.08
0.11,-0.23,11.67
0.14,0.96,-0.43
0.14,-0.17,-14.26
0.16,-0.90,3.02
0.14,0.50,10.67
0.12,0.63,-8.74
0.14,-0.63,-10.40
0.13,-0.37,9.61
0.11,0.83,4.49
0.11,0.10,-13.66
0.10,-0.90,-2.49
0.13,-0.03,12.06
0.12,0.90,-4.29
0.12,-0.50,-13.19
0.10,-0.57,6.08
0.15,0.50,8.67
0.12,0.50,-11.07
0.11,-0.76,-7.28
0.11,-0.30,11.33
0.15,0.96,1.03
0.11,-0.03,-14.26
0.13,-0.76,1.50
0.13,0.30,11.33
0.14,0.76,-7.48
0.13,-0.57,-11.40
0.14,-0.70,8.74
0.17,0.70,5.68
0.13,0.30,-13.19
0.12,-0.70,-3.89
0.12,-0.30,12.00
0.12,0.83,-3.02
0.11,-0.43,-13.79
0.15,-0.70,5.22
0.12,0.50,9.41
0.15,0.43,-10.34
0.14,-0.57,-8.34
0.13,-0.50,10.87
0.15,0.76,2.09
0.12,-0.03,-14.13
0.11,-0.83,0.63
0.12,0.30,11.67
0.11,0.76,-6.75
0.12,-0.50,-11.87
0.12,-0.63,8.14
0.13,0.83,6.41
0.14,0.57,-12.86
0.12,-0.76,-4.62
0.13,-0.17,12.00
0.14,0.96,-2.36
0.14,-0.30,-13.99
0.10,-0.70,4.49
0.14,0.43,9.80
0.14,0.63,-9.80
0.14,-0.70,-9.34
0.13,-0.50,10.27
0.14,0.70,3.16
0.13,0.30,-13.93
0.13,-1.03,-0.96
0.15,-0.03,12.13
0.15,0.63,-5.68
0.11,-0.50,-12.46
0.11,-0.70,7.28
0.10,0.43,7.48
0.13,0.50,-12.06
0.14,-0.76,-6.02
0.10,-0.30,11.73
0.14,1.16,-0.63
0.12,-0.03,-14.19
0.14,-0.90,3.22
0.09,0.50,10.60
0.12,0.76,-8.87
0.13,-0.50,-10.27
0.09,-0.43,9.80
0.13,0.83,4.29
0.12,0.30,-13.73
0.13,-0.83,-2.29
0.10,0.03,12.13
0.13,0.96,-4.42
0.10,-0.23,-13.13
0.14,-0.63,6.22
0.14,0.57,8.61
0.12,0.63,-11.13
0.15,-0.70,-7.15
0.13,-0.17,11.33
0.13,1.03,0.70
0.10,0.10,-14.26
0.10,-0.83,1.63
0.08,0.43,11.40
0.13,0.76,-7.61
0.14,-0.30,-11.27
0.12,-0.63,8.74
0.15,0.70,5.62
0.11,0.23,-13.13
0.12,-0.83,-3.76
0.14,-0.23,12.06
0.11,0.83,-3.16
0.11,-0.43,-13.66
0.13,-0.70,5.28
0.13,0.37,9.27
0.10,0.70,-10.47
0.10,-0.76,-8.21
0.11,-0.63,10.87
0.12,0.83,2.03
0.15,0.17,-14.19
0.12,-0.83,0.50
0.10,0.03,11.87
0.12,0.76,-6.55
0.13,-0.50,-11.87
0.11,-0.50,7.94
0.16,0.76,6.75
0.11,0.57,-12.60
0.11,-0.57,-4.95
0.16,-0.10,12.00
0.11,0.96,-1.83
0.14,-0.03,-14.19
0.11,-0.63,4.02
0.11,0.50,10.00
0.14,0.63,-9.67
0.14,-0.57,-9.34
0.11,-0.37,10.27
0.10,0.76,3.22
0.11,0.17,-13.93
0.08,-0.96,-0.83
0.14,-0.10,12.06
0.15,0.63,-5.82
0.13,-0.37,-12.40
0.13,-0.63,7.48
0.13,0.57,7.41
0.12,0.63,-12.13
0.13,-0.76,-5.68
0.11,-0.10,11.80
0.12,0.90,-0.96
0.10,-0.10,-14.26
0.11,-0.76,3.36
0.14,0.50,10.34
0.10,0.43,-9.21
0.08,-0.57,-10.00
0.12,-0.57,10.00
0.14,0.70,3.69
0.12,-0.03,-13.86
0.11,-0.83,-1.43
0.12,-0.03,12.06
0.15,0.90,-5.35
0.11,-0.57,-12.73
0.12,-0.90,7.01
0.14,0.43,7.94
0.13,0.43,-11.67
0.07,-0.76,-6.35
0.15,-0.17,11.60
0.11,1.10,-0.03
0.16,-0.03,-14.26
0.12,-0.90,2.63
0.13,0.43,10.87
0.14,0.57,-8.48
0.11,-0.57,-10.67
0.13,-0.63,9.34
0.12,0.63,4.62
0.10,0.23,-13.53
0.13,-0.76,-2.76
0.12,0.03,12.20
0.13,0.76,-3.96
0.13,-0.37,-13.33
0.13,-0.96,5.95
0.10,0.70,8.87
0.13,0.57,-10.80
0.09,-0.76,-7.54
0.14,-0.23,11.20
0.10,0.63,1.30
0.11,0.10,-14.26
0.11,-0.83,1.10
0.14,0.17,11.53
0.13,0.83,-7.15
0.12,-0.37,-11.60
0.11,-0.57,8.34
0.14,0.63,6.08
0.14,0.43,-12.93
0.10,-0.63,-4.42
0.13,-0.10,12.06
0.11,1.03,-2.56
0.09,-0.17,-13.86
0.14,-0.63,4.62
0.14,0.30,9.74
0.15,0.57,-10.00
0.12,-0.76,-8.87
0.11,-0.70,10.60
0.15,0.83,2.69
0.13,0.10,-14.06
0.13,-0.96,-0.43
0.10,0.10,11.93
0.12,0.70,-5.95
0.10,-0.57,-12.33
0.12,-0.43,7.54
0.13,0.70,7.35
0.15,0.57,-12.20
0.12,-0.76,-5.55
0.13,-0.23,11.73
0.13,0.83,-1.16
0.12,-0.03,-14.26
0.11,-0.70,3.62
0.12,0.37,10.34
0.17,0.50,-9.27
0.13,-0.57,-9.80
0.12,-0.43,9.87
0.12,0.76,3.96
0.13,0.23,-13.86
0.12,-0.90,-1.76
0.12,-0.03,12.13
0.13,0.83,-5.02
0.12,-0.30,-12.86
0.13,-0.70,6.75
0.15,0.57,8.21
0.12,0.50,-11.60
0.13,-0.63,-6.61
0.12,-0.30,11.53
0.16,0.90,0.10
0.13,-0.10,-14.19
0.12,-0.83,2.56
0.12,0.23,10.93
0.10,0.70,-8.28
0.13,-0.63,-10.80
0.13,-0.63,9.27
0.13,0.76,4.95
0.14,0.17,-13.46
0.09,-0.90,-3.02
0.14,-0.10,12.06
0.13,1.03,-3.89
0.11,-0.23,-13.33
0.11,-0.63,5.95
0.16,0.50,8.87
0.11,0.70,-10.80
0.12,-0.76,-7.54
0.12,-0.17,11.20
0.12,0.63,1.36
0.16,0.23,-14.19
0.14,-0.76,1.10
0.09,0.43,11.53
0.16,0.83,-7.21
0.10,-0.50,-11.53
0.11,-0.57,8.41
0.12,0.70,5.95
0.14,0.50,-13.00
0.13,-0.63,-4.42
0.14,-0.03,12.06
0.13,0.76,-2.49
0.12,-0.43,-13.99
0.11,-0.76,4.55
0.12,0.30,9.67
0.11,0.57,-9.87
0.14,-0.76,-9.07
0.11,-0.63,10.40
0.09,0.76,2.96
0.11,0.30,-13.99
0.12,-0.96,-0.70
0.12,0.03,12.06
0.15,0.70,-5.75
0.10,-0.43,-12.46
0.11,-0.50,7.35
0.13,0.50,7.48
0.09,0.43,-12.06
0.12,-0.83,-5.95
0.11,-0.10,11.80
0.15,0.96,-0.76
0.09,-0.03,-14.26
0.12,-0.90,3.22
0.15,0.30,10.54
0.12,0.63,-8.87
0.13,-0.63,-10.27
0.11,-0.70,9.67
0.11,0.76,4.29
0.13,0.30,-13.66
0.11,-0.96,-2.16
0.12,0.10,12.06
0.13,0.83,-4.55
0.12,-0.50,-13.13
0.13,-0.76,6.35
0.13,0.57,8.61
0.14,0.50,-11.20
0.11,-0.70,-7.15
0.10,-0.37,11.33
0.13,0.90,0.83
0.09,-0.10,-14.19
0.14,-0.90,1.70
0.12,0.30,11.33
0.13,0.70,-7.54
0.11,-0.37,-11.33
0.08,-0.43,8.81
0.15,0.70,5.62
0.13,0.30,-13.19
0.08,-0.70,-3.96
0.14,-0.30,12.13
0.14,0.83,-3.09
0.12,-0.37,-13.66
0.14,-0.83,5.15
0.11,0.57,9.47
0.11,0.57,-10.34
0.10,-0.76,-8.21
0.12,-0.43,10.80
